file,passed,failed,duration_ms
estimate.spec.ts,0,0,0
uat.interactive.spec.ts,9,1,265
uat.r2.spec.ts,2,3,107
uat.release.spec.ts,0,0,0
uat.story.video.spec.ts,0,0,0
