week,start_date,projected_inflow,projected_outflow,projected_net,ending_balance
Week 1,2025-11-11,0,0,0.0,0.0
Week 2,2025-11-18,0,0,0.0,0.0
Week 3,2025-11-25,0,0,0.0,0.0
Week 4,2025-12-02,0,0,0.0,0.0
Week 5,2025-12-09,0,0,0.0,0.0
Week 6,2025-12-16,0,0,0.0,0.0
Week 7,2025-12-23,0,0,0.0,0.0
Week 8,2025-12-30,0,0,0.0,0.0
Week 9,2026-01-06,0,0,0.0,0.0
Week 10,2026-01-13,0,0,0.0,0.0
Week 11,2026-01-20,0,0,0.0,0.0
Week 12,2026-01-27,0,0,0.0,0.0
Week 13,2026-02-03,0,0,0.0,0.0
