vendor,trade,item,description,unit,qty,unit_cost,line_total,quoted_total,notes
final_touch_cabinets,casework,494_4th_pl_sw,494 4th Pl SW,EA,494.0,,494.0,494.0,
final_touch_cabinets,casework,291_sea_oak_drive,291 SEA OAK DRIVE,EA,291.0,,291.0,291.0,
final_touch_cabinets,casework,1,1,EA,1.0,,1.0,1.0,
final_touch_cabinets,casework,bath_1,BATH 1,EA,1.0,,1.0,1.0,
final_touch_cabinets,casework,bath_2,BATH 2,EA,2.0,,2.0,2.0,
final_touch_cabinets,casework,bath_3,BATH 3,EA,3.0,,3.0,3.0,
final_touch_cabinets,casework,bath_4,BATH 4,EA,4.0,,4.0,4.0,
