vendor,trade,item,description,unit,qty,unit_cost,line_total,quoted_total,notes
rock_concrete,concrete,wed_oct_29_2025_at_731_am,Wed Oct 29 2025 at 731 AM,EA,29.0,,29.0,29.0,
rock_concrete,paint,interior_paint,Re 291 SOD Fireplace mantel and plaster finish precedent,EA,291.0,,291.0,291.0,
rock_concrete,concrete,1_message,1 message,EA,1.0,,1000000.0,1000000.0,
rock_concrete,concrete,cost_to_make_and_install_locally_would_b,Cost to make and install locally would be approx 11k,EA,1.0,,11000.0,11000.0,
rock_concrete,concrete,and_take_up_to_6_weeks_to_produce,And take up to 6 weeks to produce,EA,6.0,,6.0,6.0,
rock_concrete,concrete,on_oct_28_2025_at_1127_am_john_cowger_jo,On Oct 28 2025 at 1127 AM John Cowger johndccfycom wrote,EA,28.0,,28.0,28.0,
rock_concrete,concrete,on_oct_27_2025_at_944_am_projects_jc_wel,On Oct 27 2025 at 944 AM Projects JC Welton projectsjcweltoncom wrote,EA,27.0,,27.0,27.0,
rock_concrete,paint,interior_paint,Subject 291 SOD Fireplace mantel and plaster finish precedent,EA,291.0,,291.0,291.0,
