vendor,trade,item,description,unit,qty,unit_cost,line_total,quoted_total,notes
Lynn-Gator 11.6.25,,pocket_stops,Pocket Stops,EA,1.0,,8.0,8.0,
Lynn-Gator 11.6.25,,cased_openings,Cased Openings,EA,1.0,,8.0,8.0,
Lynn-Gator 11.6.25,,34x4x10_birch_plywood_12_wall,34x4x10 Birch Plywood 12 wall,EA,12.0,,2.0,2.0,
Lynn-Gator 11.6.25,,1x12_s4s_poplar_10_wall,1x12 S4S Poplar 10 wall,EA,10.0,,1.0,1.0,
Lynn-Gator 11.6.25,,1x8_s4s_poplar_6_wall,1x8 S4S Poplar 6 wall,EA,6.0,,5.0,5.0,
Lynn-Gator 11.6.25,,window_trim,Window Trim,EA,1.0,,33.0,33.0,
Lynn-Gator 11.6.25,,112_x714_net_poplar_bullnose,112 x714 net Poplar Bullnose,EA,112.0,,,,
Lynn-Gator 11.6.25,,page_3_of,Page 3 of,EA,3.0,,5.0,5.0,
Lynn-Gator 11.6.25,,20_min,20 Min,EA,20.0,,,,
Lynn-Gator 11.6.25,,flex_mould_1_allowance_window_f,Flex Mould 1 Allowance Window F,EA,1.0,,,,
Lynn-Gator 11.6.25,,interior_doors,Interior Doors,EA,1.0,,23.0,23.0,
Lynn-Gator 11.6.25,,fire_20_min,Fire 20 min,EA,20.0,,1.0,1.0,
Lynn-Gator 11.6.25,electrical,rough-in,28x70x134 20 min Trustile TS2020 2 Panel Scoop,EA,20.0,,,,
Lynn-Gator 11.6.25,electrical,rough-in,Panel QR Quarter Round Sticking Pre Hung 20 min SR,EA,20.0,,,,
Lynn-Gator 11.6.25,paint,interior_paint,Jamb 458 Adjustable Aluminum Mill Finish Sill,EA,458.0,,1279.0,1279.0,
Lynn-Gator 11.6.25,,pc_sq_butt_hinge_1250_pc_spring_butt_hin,PC SQ Butt Hinge 1250 PC Spring Butt Hinge White,EA,1250.0,,,,
Lynn-Gator 11.6.25,,prehung,Prehung,EA,1.0,,10.0,10.0,
Lynn-Gator 11.6.25,electrical,rough-in,28x70x134Trustile TS2020 2 Panel Scoop Panel QR,EA,2.0,,,,
Lynn-Gator 11.6.25,,quarter_round_sticking_pre_hung_pop_jamb,Quarter Round Sticking Pre Hung Pop Jamb 658 Pop,EA,658.0,,,,
Lynn-Gator 11.6.25,,stop_12x112_og_1279_pc_sq_butt_hinge_stn,Stop 12x112 OG 1279 PC SQ Butt Hinge Stnd Bore,EA,1279.0,,,,
Lynn-Gator 11.6.25,electrical,rough-in,26x70x134Trustile TS2020 2 Panel Scoop Panel QR,EA,2.0,,,,
Lynn-Gator 11.6.25,,quarter_round_sticking_pre_hung_pop_jamb,Quarter Round Sticking Pre Hung Pop Jamb 658 Pop,EA,658.0,,,,
Lynn-Gator 11.6.25,,stop_12x112_og_1279_pc_sq_butt_hinge_stn,Stop 12x112 OG 1279 PC SQ Butt Hinge Stnd Bore,EA,1279.0,,,,
Lynn-Gator 11.6.25,electrical,rough-in,26x70x134Trustile TS2020 2 Panel Scoop Panel QR,EA,2.0,,,,
Lynn-Gator 11.6.25,,quarter_round_sticking_pre_hung_pop_jamb,Quarter Round Sticking Pre Hung Pop Jamb 458 Pop,EA,458.0,,,,
Lynn-Gator 11.6.25,,stop_12x112_og_1279_pc_sq_butt_hinge_stn,Stop 12x112 OG 1279 PC SQ Butt Hinge Stnd Bore,EA,1279.0,,,,
